,"D1, kW","D2, kW","D3, kW","D4, kW","D5, kW","D6, kW","CH1, kW","dCH1, kW","CH2, kW","dCH2, kW","SOC1, %","SOC2, %","PV1, kW","PV2, kW","PV3, kW","PV4, kW","PV5, kW","PV6, kW","PV7, kW","Diesel, kW","ESS, kW","PV, kW","Load, kW"
10,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,8.403471374806156e-28,1.5000000049994457,66.54345019008714,66.54345019008714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
11,0.0,2.9999999900006666,0.0,0.0,0.0,0.0,1.1536305809939235e-06,1.1586302476236258e-06,1.1536305809939235e-06,1.1586302476236258e-06,66.54345016404721,66.54345016404721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999900006666,9.999333259404607e-09,0.0,3.0
12,0.0,2.9999999900006666,0.0,0.0,0.0,-4.440892098500626e-16,1.1536305046563035e-06,1.1586301714051889e-06,1.1536305046563035e-06,1.1586301714051889e-06,66.54345013800729,66.54345013800729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999990000666,9.99933349777069e-09,0.0,3.0
13,0.0,3.0,0.0,0.0,0.0,-9.999333805410515e-09,1.1531499258262283e-06,1.1581495925826105e-06,1.1531499258262283e-06,1.1581495925826105e-06,66.54345011196736,66.54345011196736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999990000666,9.999333512764444e-09,0.0,3.0
14,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,6.057095288333996e-28,1.5000000049994457,58.730950085928576,58.730950085928576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
15,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,5.48099168320835e-28,1.5000000049994457,50.91845005988979,50.91845005988979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
16,0.0,0.0,0.0,0.0,0.0,-9.998891603579807e-09,8.577686923678029e-20,0.3895536707000281,7.798405299547156e-20,0.3895536707000281,48.889524691660476,48.889524691660476,0.31727038122840506,0.31727038122840506,0.31727038122840506,0.31727038122840506,0.31727038122840506,0.31727038122840506,0.31727038122840506,-9.998891603579807e-09,0.7791073414000562,2.2208926685988355,3.0
17,0.0,0.0,0.0,0.0,0.0,-9.998891048468295e-09,1.146410312892937,0.0,1.146410312892937,0.0,54.860411737977856,54.860411737977856,0.8989743765406808,0.8989743765406808,0.8989743765406808,0.8989743765406808,0.8989743765406808,0.8989743765406808,0.8989743765406808,-9.998891048468295e-09,-2.292820625785874,6.292820635784764,4.0
18,0.0,0.0,0.0,0.0,0.0,-9.998890604379085e-09,1.0967390572941875,0.0,1.0967390572941875,0.0,60.57259432805175,60.57259432805175,0.8847825892267522,0.8847825892267522,0.8847825892267522,0.8847825892267522,0.8847825892267522,0.8847825892267522,0.8847825892267522,-9.998890604379085e-09,-2.193478114588375,6.193478124587266,4.0
19,0.0,0.0,0.0,0.0,0.0,-9.99888993824527e-09,1.0525906969092398,0.0,1.0525906969092398,0.0,66.0548375411207,66.0548375411207,0.8721687719739101,0.8721687719739101,0.8721687719739101,0.8721687719739101,0.8721687719739101,0.8721687719739101,0.8721687719739101,-9.99888993824527e-09,-2.1051813938184796,6.105181403817371,4.0
20,0.0,0.0,0.0,0.0,0.0,-9.998892380735924e-09,1.2197276924729652,0.0,1.2197276924729652,0.0,72.4075859394174,72.4075859394174,0.7770650564206889,0.7770650564206889,0.7770650564206889,0.7770650564206889,0.7770650564206889,0.7770650564206889,0.7770650564206889,-9.998892380735924e-09,-2.4394553849459304,5.439455394944822,3.0
21,0.0,0.0,0.0,0.0,0.0,-9.9988912705129e-09,1.3014256539053448,1.042366132076108e-23,1.3014256539053448,1.042366132076108e-23,79.18584455350774,79.18584455350774,0.8004073311156544,0.8004073311156544,0.8004073311156544,0.8004073311156544,0.8004073311156544,0.8004073311156544,0.8004073311156544,-9.9988912705129e-09,-2.6028513078106896,5.602851317809582,3.0
22,0.0,0.0,0.0,0.0,0.0,-9.99889171460211e-09,1.4240603910012308,0.0,1.4240603910012308,0.0,86.60282575663915,86.60282575663915,0.8354458274287647,0.8354458274287647,0.8354458274287647,0.8354458274287647,0.8354458274287647,0.8354458274287647,0.8354458274287647,-9.99889171460211e-09,-2.8481207820024617,5.848120792001353,3.0
23,0.0,0.0,0.0,0.0,0.0,-9.998889716200665e-09,1.8851181960234302,5.449810266382749e-24,1.8851181960234302,5.449810266382749e-24,96.42114969426117,96.42114969426117,0.9671766288636787,0.9671766288636787,0.9671766288636787,0.9671766288636787,0.9671766288636787,0.9671766288636787,0.9671766288636787,-9.998889716200665e-09,-3.7702363920468605,6.770236402045751,3.0
